Country,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018
Albania,6000.0,6500.0,6700.0,7000.0,7000.0,9000.0,10000.0,10000.0,11500.0,9700.0,11500.0,11500.0,14000.0,15000.0,14100.0,10300.0,15170.0,16227.0,17269.0,16000.0,12250.0,8000.0,1900.0,3400.0,2500.0,3650.0,2630.0,324.0,2300.0,869.0,0.0,0.0,0.0,0.0,642.0,1696.0,1140.0,2384.0,3633.0,2600.0,2672.0,4379.0,5691.0,5087.0,3503.0,2106.0,218.0,0.0,2601.0
Algeria,574.0,514.0,428.0,353.0,350.0,378.0,400.0,400.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,461.0,497.0,1125.0,284.0,315.0,380.0,265.0,169.0,319.0,89.0,182.0,80.0,37.0,318.0,223.0,391.0,317.0,379.0,492.0,653.0,357.0,409.0,0.0,0.0,0.0,0.0,0.0,30421.0,170273.0,210126.0,145197.0,191667.0,204027.0,199020.0,177143.0,187317.0,180144.0,180223.0,156900.0,143084.0,140300.0,116700.0,135700.0,109600.0,102600.0,61800.0,81900.0,33300.0,17400.0
Australia,157790.0,177261.0,185843.0,220335.0,251340.0,218961.0,218480.0,221579.0,222111.0,237614.0,243541.0,231339.0,245322.0,261476.0,235671.0,259765.0,248368.0,232695.0,243800.0,296000.0,330000.0,320000.0,378000.0,430000.0,418000.0,379000.0,548000.0,549000.0,619000.0,741000.0,832000.0,896000.0,879000.0,830000.0,854000.0,928217.0,878874.0,862535.0,878940.0,855892.0,871963.0,960649.0,921390.0,1000999.0,978534.0,995881.0,947555.0,849121.0,913336.0
Austria,2262.0,2575.0,2231.0,2713.0,2612.0,1923.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,8700.0,7809.0,8400.0,7971.0,7433.0,5882.0,4680.0,3670.0,3267.0,1797.0,1882.0,2637.0,2270.0,1982.0,1610.0,1665.0,338.0,0.0,0.0,0.0,0.0,0.0,101.0,94.0,79.0,127.0,92.0,182.0,48.0,24975.0,110.0,18.0,120.0,344.0,576.0,35.0,218.0,606.0,567.0,620.0,2100.0,4176.0,8700.0,7549.0,10746.0,9479.0,8718.0,7219.0,5200.0
Botswana,0.0,0.0,0.0,600.0,2755.0,6504.0,12473.0,11788.0,14615.0,14563.0,15554.0,17815.0,18375.0,20266.0,21517.0,21692.0,21337.0,18934.0,24428.0,23403.0,20612.0,20576.0,20413.0,20132.0,22780.0,20461.0,23299.0,19820.0,22124.0,20960.0,18722.0,19209.0,21590.0,24289.0,21195.0,26704.0,24255.0,19996.0,23146.0,24382.0,48026.0,31929.0,35768.0,48500.0,38000.0,9162.0,12415.0,1239.0,1462.0
Brazil,3920.0,5418.0,4455.0,3412.0,3075.0,1922.0,54.0,0.0,0.0,0.0,402.0,11777.0,24482.0,32077.0,35212.0,40999.0,40183.0,40332.0,44845.0,47439.0,34441.0,37947.0,39845.0,43568.0,39674.0,48933.0,46203.0,39952.0,34446.0,31371.0,31786.0,32734.0,32711.0,26275.0,103153.0,133325.0,147836.0,205728.0,218295.0,211692.0,213548.0,213760.0,223141.0,270979.0,301197.0,359463.0,337600.0,384542.0,381000.0
Bulgaria,42000.0,44400.0,46300.0,48000.0,51600.0,55000.0,57000.0,57000.0,57000.0,60000.0,62000.0,62000.0,65000.0,68000.0,73000.0,58000.0,70000.0,54000.0,50000.0,38800.0,32900.0,47200.0,47400.0,60400.0,75500.0,77400.0,84800.0,75500.0,82500.0,87500.0,93200.0,97100.0,84400.0,91600.0,79600.0,112536.0,123571.0,116157.0,107195.0,110652.0,112904.0,114603.0,118255.0,115149.0,108323.0,111746.0,109702.0,109078.0,109400.0
Myanmar,70.0,80.0,80.0,75.0,70.0,86.0,92.0,100.0,100.0,100.0,56.0,77.0,101.0,4200.0,12000.0,16700.0,10100.0,10600.0,4700.0,5000.0,4400.0,5700.0,5000.0,3581.0,5025.0,5282.0,4841.0,2927.0,6700.0,26736.0,26711.0,25800.0,27500.0,27900.0,31800.0,34500.0,19500.0,15100.0,6900.0,9800.0,10000.0,12000.0,25000.0,33000.0,42000.0,71000.0,95000.0,116000.0,154000.0
